,time,sex,vegan,rest,games,series,books,english,USSR_lover,child_offence_Не били,child_offence_Разве что по делу,child_offence_Часто,dvach_Лучшая борда рунета,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Альтернативная,gender_Би,gender_Гетеро,antisemetism_Да,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Биология,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Мне всё равно,crimea_Отрицательно,crimea_Положительно,putin_good,rebel,Драма,Боевик,Аниме,Комедия,Фантастика,Исторический фильм,Детектив,Трагедия,Фильм ужасов
48,2019-10-06 00:17:25,1,2,1,0,5,3,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,True,False,False,True,True,False,True,False,True
49,2019-10-06 00:20:01,0,1,1,5,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,True,False,True,False,True,False,False,False,False
50,2019-10-06 00:37:22,0,0,0,7,5,7,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,True,False,True,True,True,True,True,False,True
51,2019-10-06 00:40:44,1,5,0,0,4,7,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,False,True,False,False,False,False,False,False,False
52,2019-10-06 00:45:42,1,0,1,2,5,5,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,True,False,True,True,False,False,True,False,False
53,2019-10-06 00:47:12,1,3,0,0,2,5,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,True,True,False,True,False,False,True,False,False
54,2019-10-06 00:47:22,1,3,0,0,2,5,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,True,True,False,True,False,False,True,False,False
55,2019-10-06 00:48:03,1,3,0,5,7,7,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False,False,True,True,True,False,False,False,False
56,2019-10-06 00:49:32,1,5,0,0,4,4,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,False,True,False,False,False,False,False,False,False
57,2019-10-06 00:53:52,1,0,1,2,7,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,True,True,False,True,True,False,True,False,True
58,2019-10-06 01:00:24,1,2,1,1,3,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,True,False,False,False,False,False,True,True,False
59,2019-10-06 01:51:46,0,0,1,2,4,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,False,True,False,False,True,False,True,False,False
60,2019-10-06 01:55:46,1,1,1,2,4,1,4,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,True,True,False,True,False,False
61,2019-10-06 05:22:07,0,0,0,4,2,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,True,True,False,True,False,False
62,2019-10-06 05:53:20,1,3,1,0,0,5,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,True,False,False,True,False,False,False,False,False
63,2019-10-06 07:21:43,1,2,1,0,2,2,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,True,False,True,True,True,True,True,False,False
64,2019-10-06 07:57:44,1,2,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False,False,False,True,False,False,False,False,True
65,2019-10-06 08:22:29,0,0,1,4,0,4,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,False,False,False,True,False,False,False
66,2019-10-06 08:35:59,0,3,1,2,6,3,3,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,True,False,False,False,True,False,True,False,False
